         499553 function calls (480924 primitive calls) in 1.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    224/3    0.000    0.000    0.229    0.076 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      268    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
  147/146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      276    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       22    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
      145    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       11    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      222    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      350    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       32    0.000    0.000    0.118    0.004 response.py:706(_handle_chunk)
      226    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      276    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      178    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      396    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      145    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      138    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       10    0.000    0.000    0.003    0.000 enum.py:475(_create_)
    92/57    0.000    0.000    0.125    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      231    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       33    0.000    0.000    0.010    0.000 response.py:692(_update_chunk_length)
       32    0.000    0.000    0.007    0.000 response.py:395(_decode)
      176    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      985    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       48    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
      495    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      153    0.000    0.000    0.000    0.000 typing.py:708(__setattr__)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      261    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      455    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.318    0.318 connection.py:356(connect)
       36    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      311    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
