         589740 function calls (568554 primitive calls) in 1.148 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    236/3    0.001    0.000    0.299    0.100 <frozen importlib._bootstrap_external>:844(exec_module)
      236    0.002    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      236    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      236    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      236    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      235    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      234    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      233    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      231    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      220    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
      212    0.000    0.000    0.000    0.000 typing.py:200(<listcomp>)
      210    0.000    0.000    0.000    0.000 _receivebuffer.py:66(_extract)
  197/159    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      193    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      190    0.000    0.000    0.000    0.000 dammit.py:2377(<genexpr>)
      186    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      178    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      177    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      177    0.000    0.000    0.001    0.000 enum.py:977(__and__)
      177    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      177    0.000    0.000    0.050    0.000 sre_compile.py:598(_code)
      177    0.001    0.000    0.133    0.001 sre_compile.py:759(compile)
      177    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      177    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      177    0.001    0.000    0.081    0.000 sre_parse.py:937(parse)
      173    0.000    0.000    0.000    0.000 _connection.py:175(our_state)
   170/66    0.000    0.000    0.147    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      169    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      169    0.000    0.000    0.000    0.000 _connection.py:292(_respond_to_state_changes)
      169    0.000    0.000    0.000    0.000 _state.py:246(_fire_event_triggered_transitions)
      168    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
      168    0.001    0.000    0.002    0.000 _connection.py:230(_process_event)
      168    0.001    0.000    0.001    0.000 _events.py:31(__init__)
      168    0.000    0.000    0.001    0.000 _state.py:226(process_event)
      168    0.000    0.000    0.001    0.000 _state.py:258(_fire_state_triggered_transitions)
      166    0.000    0.000    0.000    0.000 os.py:758(decode)
      166    0.000    0.000    0.000    0.000 _events.py:73(_validate)
      165    0.000    0.000    0.000    0.000 dataclasses.py:391(<genexpr>)
      165    0.000    0.000    0.158    0.001 _models.py:1569(iter_bytes)
      165    0.001    0.000    0.650    0.004 http11.py:166(_receive_event)
      165    0.000    0.000    0.000    0.000 _connection.py:218(_server_switch_event)
      164    0.000    0.000    0.150    0.001 _client.py:121(__iter__)
      164    0.000    0.000    0.151    0.001 _models.py:1620(iter_raw)
      164    0.000    0.000    0.150    0.001 default.py:102(__iter__)
      164    0.001    0.000    0.150    0.001 http11.py:155(_receive_response_body)
      164    0.000    0.000    0.150    0.001 http11.py:284(__iter__)
      164    0.000    0.000    0.150    0.001 connection_pool.py:345(__iter__)
      163    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      163    0.000    0.000    0.006    0.000 _decoders.py:74(decode)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      160    0.000    0.000    0.000    0.000 typing.py:561(__eq__)
      157    0.000    0.000    0.002    0.000 typing.py:836(copy_with)
  153/115    0.000    0.000    0.005    0.000 typing.py:350(__getitem__)
      152    0.000    0.000    0.000    0.000 typing.py:569(__hash__)
      150    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      148    0.000    0.000    0.000    0.000 typing.py:204(_check_generic)
      146    0.000    0.000    0.001    0.000 util.py:18(lower)
      145    0.636    0.004    0.636    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      145    0.000    0.000    0.636    0.004 ssl.py:1090(read)
