         589089 function calls (567899 primitive calls) in 1.436 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      448    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      420    0.000    0.000    0.002    0.000 element.py:932(__new__)
     4483    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
     1235    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
      421    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
  264/262    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     3805    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      147    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
     1848    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      137    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
      726    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
      153    0.000    0.000    0.122    0.001 _models.py:1620(iter_raw)
      146    0.000    0.000    0.001    0.000 util.py:18(lower)
      659    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      157    0.000    0.000    0.000    0.000 _state.py:258(_fire_state_triggered_transitions)
      154    0.000    0.000    0.128    0.001 _models.py:1569(iter_bytes)
     2335    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      450    0.000    0.000    0.001    0.000 contextlib.py:261(helper)
     1257    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      177    0.000    0.000    0.001    0.000 enum.py:977(__and__)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      312    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
     1235    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
      420    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
      450    0.000    0.000    0.001    0.000 contextlib.py:114(__enter__)
      304    0.000    0.000    0.001    0.000 _receivebuffer.py:76(maybe_extract_at_most)
      177    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      561    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       15    0.000    0.000    0.006    0.000 dataclasses.py:809(_process_class)
      115    0.000    0.000    0.004    0.000 typing.py:431(Union)
       13    0.000    0.000    0.001    0.000 enum.py:545(<listcomp>)
     1166    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      468    0.000    0.000    0.004    0.000 enum.py:358(__call__)
     1234    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      177    0.000    0.000    0.048    0.000 sre_compile.py:598(_code)
      429    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
     2419    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      497    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:385(cached)
      340    0.000    0.000    0.002    0.000 typing.py:672(__init__)
  137/132    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
